heart_rate,timestamp,date
45,07:10,2025-01-02
44,07:12,2025-01-02
45,07:14,2025-01-02
46,07:16,2025-01-02
45,07:18,2025-01-02
51,23:00,2025-01-03
54,23:02,2025-01-03
55,23:04,2025-01-03
54,23:06,2025-01-03
53,23:08,2025-01-03
54,23:10,2025-01-03
54,23:12,2025-01-03
55,23:14,2025-01-03
54,23:16,2025-01-03
55,23:18,2025-01-03
55,23:20,2025-01-03
55,23:22,2025-01-03
54,23:24,2025-01-03
54,23:26,2025-01-03
54,23:28,2025-01-03
55,23:30,2025-01-03
55,23:32,2025-01-03
55,23:34,2025-01-03
54,23:36,2025-01-03
54,23:38,2025-01-03
54,23:40,2025-01-03
61,23:42,2025-01-03
69,23:44,2025-01-03
70,23:46,2025-01-03
55,23:48,2025-01-03
49,23:50,2025-01-03
53,23:52,2025-01-03
61,23:54,2025-01-03
62,23:56,2025-01-03
58,23:58,2025-01-03
51,00:00,2025-01-03
51,00:02,2025-01-03
53,00:04,2025-01-03
53,00:06,2025-01-03
53,00:08,2025-01-03
54,00:10,2025-01-03
52,00:12,2025-01-03
53,00:14,2025-01-03
53,00:16,2025-01-03
52,00:18,2025-01-03
53,00:20,2025-01-03
52,00:22,2025-01-03
52,00:24,2025-01-03
53,00:26,2025-01-03
53,00:28,2025-01-03
53,00:30,2025-01-03
52,00:32,2025-01-03
53,00:34,2025-01-03
52,00:36,2025-01-03
52,00:38,2025-01-03
51,00:40,2025-01-03
63,00:42,2025-01-03
60,00:44,2025-01-03
53,00:46,2025-01-03
47,00:48,2025-01-03
49,00:50,2025-01-03
66,00:52,2025-01-03
55,00:54,2025-01-03
47,00:56,2025-01-03
48,00:58,2025-01-03
49,01:00,2025-01-03
47,01:02,2025-01-03
48,01:04,2025-01-03
49,01:06,2025-01-03
48,01:08,2025-01-03
48,01:10,2025-01-03
49,01:12,2025-01-03
49,01:14,2025-01-03
48,01:16,2025-01-03
49,01:18,2025-01-03
50,01:20,2025-01-03
59,01:22,2025-01-03
47,01:24,2025-01-03
46,01:26,2025-01-03
46,01:28,2025-01-03
47,01:30,2025-01-03
47,01:32,2025-01-03
46,01:34,2025-01-03
47,01:36,2025-01-03
48,01:38,2025-01-03
48,01:40,2025-01-03
48,01:42,2025-01-03
47,01:44,2025-01-03
47,01:46,2025-01-03
47,01:48,2025-01-03
55,01:50,2025-01-03
48,01:52,2025-01-03
46,01:54,2025-01-03
46,01:56,2025-01-03
45,01:58,2025-01-03
46,02:00,2025-01-03
47,02:02,2025-01-03
51,02:04,2025-01-03
46,02:06,2025-01-03
53,02:08,2025-01-03
52,02:10,2025-01-03
49,02:12,2025-01-03
62,02:14,2025-01-03
45,02:16,2025-01-03
45,02:18,2025-01-03
